Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%,Height (Inches),height_scaled,weight_scaled,DBSCAN Results,IsolationForest Results,Height-Weight PCA,PCA Z-Score Results
Dusty Hannahs,MEM,26,6-3,210,Arkansas,USA,Undrafted,Undrafted,Undrafted,2,6.0,0.5,0.0,17.2,0.0%,6.3%,28.6%,60.7%,0.0%,75,-0.9732593146450594,-0.2991080742544698,Core Data,Core Data,-0.8996996088514798,Core Data
Dwayne Bacon,CHA,24,6-6,221,Florida State,USA,2017,2,40,39,5.7,2.6,1.3,-8.2,2.0%,12.4%,18.9%,41.9%,12.1%,78,-0.09466856814806733,0.15628436009580796,Core Data,Core Data,0.043568944314425394,Core Data
Dwight Howard,LAL,34,6-10,265,None,USA,2004,1,1,69,7.5,7.3,0.7,5.9,12.8%,25.7%,14.6%,69.6%,4.8%,82,1.0767857605145887,1.977854097496919,Core Data,Core Data,2.1599565576826483,Core Data
Dwight Powell,DAL,28,6-10,240,Stanford,Canada,2014,2,45,40,9.4,5.7,1.5,8.9,7.1%,13.2%,12.6%,67.7%,7.6%,82,1.0767857605145887,0.9428712921553787,Core Data,Core Data,1.4281131976141688,Core Data
Dzanan Musa,BKN,21,6-9,217,None,Bosnia and He...,2018,1,29,40,4.8,2.2,1.1,-2.5,3.9%,11.7%,19.3%,48.4%,13.1%,81,0.7839221783489247,-0.009312888758838489,Core Data,Core Data,0.5477314814392427,Core Data
E'Twaun Moore,NOP,31,6-3,191,Purdue,USA,2011,2,55,56,8.3,2.3,1.4,-2.2,2.7%,9.5%,19.6%,51.0%,11.0%,75,-0.9732593146450594,-1.0856950063140405,Core Data,Core Data,-1.4559005625035242,Core Data
Ed Davis,UTA,31,6-9,218,North Carolina,USA,2010,1,13,28,1.8,3.8,0.4,-15.2,10.7%,23.4%,9.2%,48.9%,6.2%,81,0.7839221783489247,0.032086423454823126,Core Data,Core Data,0.5770052158419818,Core Data
Edmond Sumner,IND,24,6-4,196,Xavier,USA,2017,2,52,31,4.9,1.5,1.8,-2.6,2.4%,7.3%,16.7%,49.1%,16.7%,76,-0.6803957324793954,-0.8786984452457324,Core Data,Core Data,-1.1024460655779036,Core Data
Elfrid Payton,NYK,26,6-3,195,Louisana-Lafayette,USA,2014,1,10,45,10.0,4.7,7.2,-3.0,3.9%,12.6%,19.0%,47.0%,34.7%,75,-0.9732593146450594,-0.920097757459394,Core Data,Core Data,-1.3388056248925675,Core Data
Elie Okobo,PHX,22,6-3,190,None,France,2018,2,31,55,4.0,1.6,2.1,-3.2,2.2%,10.2%,14.7%,51.6%,22.7%,75,-0.9732593146450594,-1.127094318527702,Core Data,Core Data,-1.4851742969062633,Core Data
Emmanuel Mudiay,UTA,24,6-3,200,None,Democratic Re...,2015,1,7,54,7.3,2.3,2.1,-2.0,2.1%,11.7%,21.8%,54.3%,21.2%,75,-0.9732593146450594,-0.7131011963910859,Core Data,Core Data,-1.1924369528788716,Core Data
Enes Kanter,BOS,28,6-10,250,,Turkey,2011,1,3,58,8.1,7.4,1.0,9.9,15.8%,25.7%,18.6%,59.9%,8.4%,82,1.0767857605145887,1.3568644142919948,Core Data,Core Data,1.7208505416415605,Core Data
Eric Bledsoe,MIL,30,6-1,214,Kentucky,USA,2010,1,18,61,14.9,4.6,5.4,11.8,2.5%,12.1%,23.3%,57.1%,27.5%,73,-1.5589864789763876,-0.13351082539982334,Core Data,Core Data,-1.1967763210643725,Core Data
Eric Gordon,HOU,31,6-3,215,Indiana,USA,2008,1,7,36,14.4,2.0,1.5,0.4,0.8%,5.6%,21.5%,51.0%,8.0%,75,-0.9732593146450594,-0.09211151318616172,Core Data,Core Data,-0.7533309368377838,Core Data
Eric Mika,SAC,25,6-10,233,None,USA,Undrafted,Undrafted,Undrafted,1,6.0,7.0,0.0,19.5,11.1%,26.3%,8.9%,77.3%,0.0%,82,1.0767857605145887,0.6530761066597474,Core Data,Core Data,1.2231970567949944,Core Data
Eric Paschall,GSW,23,6-6,255,Villanova,USA,2019,2,41,60,14.0,4.6,2.1,-10.6,4.7%,11.6%,20.7%,57.1%,12.6%,78,-0.09466856814806733,1.5638609753603028,Core Data,Core Data,1.0388759140075576,Core Data
Ersan Ilyasova,MIL,33,6-9,235,None,Turkey,2005,2,36,63,6.6,4.8,0.8,4.2,5.9%,21.2%,15.8%,58.9%,6.5%,81,0.7839221783489247,0.7358747310870706,Core Data,Core Data,1.074658700688548,Core Data
Evan Fournier,ORL,27,6-7,205,None,France,2012,1,20,66,18.5,2.6,3.2,-1.8,0.8%,7.4%,23.7%,59.5%,16.0%,79,0.1981950140175967,-0.5061046353227778,Core Data,Core Data,-0.21772498121747685,Core Data
Evan Turner,MIN,31,6-6,220,Ohio State,USA,2010,1,2,19,3.3,2.0,2.0,-11.4,2.8%,10.7%,15.4%,42.4%,23.5%,78,-0.09466856814806733,0.11488504788214636,Core Data,Core Data,0.014295209911686231,Core Data
Frank Jackson,NOP,22,6-3,205,Duke,USA,2017,2,31,59,6.3,1.4,1.0,-3.4,2.5%,7.0%,20.3%,51.0%,10.7%,75,-0.9732593146450594,-0.5061046353227778,Core Data,Core Data,-1.0460682808651758,Core Data
Frank Kaminsky,PHX,27,7-0,240,Wisconsin,USA,2015,1,9,39,9.7,4.5,1.9,-1.0,4.3%,17.9%,20.4%,54.5%,14.4%,84,1.662512924845917,0.9428712921553787,Core Data,Core Data,1.842284847438018,Core Data
Frank Mason,MIL,26,5-11,190,Kansas,USA,2017,2,34,9,6.9,2.1,3.2,-1.8,3.4%,9.7%,22.8%,53.0%,37.2%,71,-2.144713643307716,-1.127094318527702,Core Data,Core Data,-2.3135175965539623,Core Data
Frank Ntilikina,NYK,21,6-4,200,None,France,2017,1,8,57,6.3,2.1,3.0,-3.9,1.8%,8.2%,15.2%,49.7%,20.9%,76,-0.6803957324793954,-0.7131011963910859,Core Data,Core Data,-0.9853511279669469,Core Data
Fred VanVleet,TOR,26,6-1,197,Wichita State,USA,Undrafted,Undrafted,Undrafted,54,17.6,3.8,6.6,4.8,0.9%,8.8%,21.8%,55.3%,28.1%,73,-1.5589864789763876,-0.8372991330320708,Core Data,Core Data,-1.6944298059109386,Core Data
Furkan Korkmaz,PHI,22,6-7,202,None,Turkey,2016,1,26,72,9.8,2.3,1.1,2.7,1.1%,9.3%,17.7%,57.9%,7.3%,79,0.1981950140175967,-0.6303025719637627,Core Data,Core Data,-0.3055461844256944,Core Data
