skaterFullName,year_season_start,season_number,goals,gamesPlayed
Jeff Carter,2014,11,28,82
Jeff Carter,2015,12,24,77
Jeff Carter,2016,13,32,82
Jeff Carter,2017,14,13,27
Jeff Carter,2018,15,13,76
Jeff Carter,2019,16,17,60
Jeremy Roenick,1990,1,41,79
Jeremy Roenick,1991,2,53,80
Jeremy Roenick,1992,3,50,84
Jeremy Roenick,1993,4,46,84
Jeremy Roenick,1994,5,10,33
Jeremy Roenick,1995,6,32,66
Jeremy Roenick,1996,7,29,72
Jeremy Roenick,1997,8,24,79
Jeremy Roenick,1998,9,24,78
Jeremy Roenick,1999,10,34,75
Jeremy Roenick,2000,11,30,80
Jeremy Roenick,2001,12,21,75
Jeremy Roenick,2002,13,27,79
Jeremy Roenick,2003,14,19,62
Jeremy Roenick,2005,15,9,58
Jeremy Roenick,2006,16,11,70
Jeremy Roenick,2007,17,14,69
Jeremy Roenick,2008,18,4,42
Joe Nieuwendyk,1990,1,45,79
Joe Nieuwendyk,1991,2,22,69
Joe Nieuwendyk,1992,3,38,79
Joe Nieuwendyk,1993,4,36,64
Joe Nieuwendyk,1994,5,21,46
Joe Nieuwendyk,1995,6,14,52
Joe Nieuwendyk,1996,7,30,66
Joe Nieuwendyk,1997,8,39,73
Joe Nieuwendyk,1998,9,28,67
Joe Nieuwendyk,1999,10,15,48
Joe Nieuwendyk,2000,11,29,69
Joe Nieuwendyk,2001,12,25,81
Joe Nieuwendyk,2002,13,17,80
Joe Nieuwendyk,2003,14,22,64
Joe Nieuwendyk,2005,15,26,65
Joe Sakic,1990,1,48,80
Joe Sakic,1991,2,29,69
Joe Sakic,1992,3,48,78
Joe Sakic,1993,4,28,84
Joe Sakic,1994,5,19,47
Joe Sakic,1995,6,51,82
Joe Sakic,1996,7,22,65
Joe Sakic,1997,8,27,64
Joe Sakic,1998,9,41,73
Joe Sakic,1999,10,28,60
Joe Sakic,2000,11,54,82
Joe Sakic,2001,12,26,82
Joe Sakic,2002,13,26,58
Joe Sakic,2003,14,33,81
Joe Sakic,2005,15,32,82
Joe Sakic,2006,16,36,82
Joe Sakic,2007,17,13,44
Joe Sakic,2008,18,2,15
Joe Thornton,1997,1,3,55
Joe Thornton,1998,2,16,81
Joe Thornton,1999,3,23,81
Joe Thornton,2000,4,37,72
Joe Thornton,2001,5,22,66
Joe Thornton,2002,6,36,77
Joe Thornton,2003,7,23,77
Joe Thornton,2005,8,29,81
Joe Thornton,2006,9,22,82
Joe Thornton,2007,10,29,82
Joe Thornton,2008,11,25,82
Joe Thornton,2009,12,20,79
Joe Thornton,2010,13,21,80
Joe Thornton,2011,14,18,82
Joe Thornton,2012,15,7,48
Joe Thornton,2013,16,11,82
Joe Thornton,2014,17,16,78
Joe Thornton,2015,18,19,82
Joe Thornton,2016,19,7,79
Joe Thornton,2017,20,13,47
Joe Thornton,2018,21,16,73
Joe Thornton,2019,22,7,70
John LeClair,1990,1,2,10
John LeClair,1991,2,8,59
John LeClair,1992,3,19,72
John LeClair,1993,4,19,74
John LeClair,1994,5,26,46
John LeClair,1995,6,51,82
John LeClair,1996,7,50,82
John LeClair,1997,8,51,82
John LeClair,1998,9,43,76
John LeClair,1999,10,40,82
John LeClair,2000,11,7,16
John LeClair,2001,12,25,82
John LeClair,2002,13,18,35
John LeClair,2003,14,23,75
John LeClair,2005,15,22,73
John LeClair,2006,16,2,21
Keith Tkachuk,1991,1,3,17
Keith Tkachuk,1992,2,28,83
Keith Tkachuk,1993,3,41,84
Keith Tkachuk,1994,4,22,48
Keith Tkachuk,1995,5,50,76
Keith Tkachuk,1996,6,52,81
Keith Tkachuk,1997,7,40,69
Keith Tkachuk,1998,8,36,68
Keith Tkachuk,1999,9,22,50
Keith Tkachuk,2000,10,35,76
Keith Tkachuk,2001,11,38,73
Keith Tkachuk,2002,12,31,56
Keith Tkachuk,2003,13,33,75
Keith Tkachuk,2005,14,15,41
Keith Tkachuk,2006,15,27,79
Keith Tkachuk,2007,16,27,79
Keith Tkachuk,2008,17,25,79
Keith Tkachuk,2009,18,13,67
Luc Robitaille,1990,1,45,76
Luc Robitaille,1991,2,44,80
Luc Robitaille,1992,3,63,84
Luc Robitaille,1993,4,44,83
Luc Robitaille,1994,5,23,46
Luc Robitaille,1995,6,23,77
Luc Robitaille,1996,7,24,69
Luc Robitaille,1997,8,16,57
Luc Robitaille,1998,9,39,82
Luc Robitaille,1999,10,36,71
Luc Robitaille,2000,11,37,82
Luc Robitaille,2001,12,30,81
Luc Robitaille,2002,13,11,81
Luc Robitaille,2003,14,22,80
Luc Robitaille,2005,15,15,65
Marian Gaborik,2000,1,18,71
Marian Gaborik,2001,2,30,78
Marian Gaborik,2002,3,30,81
Marian Gaborik,2003,4,18,65
Marian Gaborik,2005,5,38,65
Marian Gaborik,2006,6,30,48
Marian Gaborik,2007,7,42,77
Marian Gaborik,2008,8,13,17
Marian Gaborik,2009,9,42,76
Marian Gaborik,2010,10,22,62
Marian Gaborik,2011,11,41,82
Marian Gaborik,2012,12,12,47
Marian Gaborik,2013,13,11,41
Marian Gaborik,2014,14,27,69
Marian Gaborik,2015,15,12,54
Marian Gaborik,2016,16,10,56
Marian Gaborik,2017,17,11,46
Marian Hossa,1997,1,0,7
Marian Hossa,1998,2,15,60
Marian Hossa,1999,3,29,78
Marian Hossa,2000,4,32,81
Marian Hossa,2001,5,31,80
Marian Hossa,2002,6,45,80
Marian Hossa,2003,7,36,81
Marian Hossa,2005,8,39,80
Marian Hossa,2006,9,43,82
Marian Hossa,2007,10,29,72
Marian Hossa,2008,11,40,74
Marian Hossa,2009,12,24,57
Marian Hossa,2010,13,25,65
Marian Hossa,2011,14,29,81
Marian Hossa,2012,15,17,40
Marian Hossa,2013,16,30,72
Marian Hossa,2014,17,22,82
Marian Hossa,2015,18,13,64
Marian Hossa,2016,19,26,73
Mark Recchi,1990,1,40,78
Mark Recchi,1991,2,43,80
Mark Recchi,1992,3,53,84
Mark Recchi,1993,4,40,84
Mark Recchi,1994,5,16,49
Mark Recchi,1995,6,28,82
Mark Recchi,1996,7,34,82
Mark Recchi,1997,8,32,82
Mark Recchi,1998,9,16,71
Mark Recchi,1999,10,28,82
Mark Recchi,2000,11,27,69
Mark Recchi,2001,12,22,80
Mark Recchi,2003,13,26,82
Mark Recchi,2005,14,28,83
Mark Recchi,2006,15,24,82
Mark Recchi,2007,16,14,72
Mark Recchi,2008,17,23,80
Mark Recchi,2009,18,18,81
Mark Recchi,2010,19,14,81
Markus Naslund,1993,1,4,71
Markus Naslund,1994,2,2,14
Markus Naslund,1995,3,22,76
Markus Naslund,1996,4,21,78
Markus Naslund,1997,5,14,76
Markus Naslund,1998,6,36,80
Markus Naslund,1999,7,27,82
Markus Naslund,2000,8,41,72
Markus Naslund,2001,9,40,81
